date	word	value
2017-7	anniversary	3
2017-7	confederation	1
2017-7	celebrate	6
2017-7	past	4
2017-7	look	3
2017-7	boldly	1
2017-7	toward	1
2017-7	next	9
2017-7	years	6
2017-7	prince	2
2017-7	charles	1
2017-7	us	11
2017-7	welcome	11
2017-7	enjoy	1
2017-7	clarencehouse	1
2017-7	wishing	4
2017-7	celebrating	6
2017-7	canada	26
2017-7	around	6
2017-7	world	10
2017-7	happy	14
2017-7	day	8
2017-7	canadaday	2
2017-7	let	3
2017-7	learn	1
2017-7	legacy	1
2017-7	move	1
2017-7	ahead	3
2017-7	together	12
2017-7	spirit	1
2017-7	canadianforces	4
2017-7	deployed	2
2017-7	caf	2
2017-7	members	4
2017-7	got	1
2017-7	excited	4
2017-7	somewhere	1
2017-7	rockies	1
2017-7	sorry	1
2017-7	alberta	1
2017-7	love	3
2017-7	canadian	10
2017-7	space	1
2017-7	agency	1
2017-7	selected	1
2017-7	joshua	1
2017-7	kutryk	1
2017-7	jenni	1
2017-7	sidey	1
2017-7	bethenextcdnastro	1
2017-7	truly	2
2017-7	blessed	1
2017-7	live	3
2017-7	great	14
2017-7	country	1
2017-7	nous	3
2017-7	avons	1
2017-7	beaucoup	1
2017-7	de	5
2017-7	chance	3
2017-7	vivre	1
2017-7	dans	1
2017-7	un	2
2017-7	pays	2
2017-7	aussi	1
2017-7	sait	2
2017-7	employees	1
2017-7	drone	1
2017-7	much	2
2017-7	special	1
2017-7	birthday	4
2017-7	hopenlesmyth	1
2017-7	hope	2
2017-7	ollie	1
2017-7	shawinfo	1
2017-7	melaniejoly	3
2017-7	even	2
2017-7	raining	1
2017-7	amwithenshaw	1
2017-7	want	2
2017-7	tonight	3
2017-7	pleasure	3
2017-7	wales	1
2017-7	duchess	1
2017-7	cornwall	1
2017-7	night	2
2017-7	show	3
2017-7	artists	1
2017-7	remind	1
2017-7	diversity	2
2017-7	strength	1
2017-7	sincere	1
2017-7	thanks	29
2017-7	first	6
2017-7	responders	5
2017-7	staff	2
2017-7	volunteers	2
2017-7	worked	1
2017-7	rain	1
2017-7	keep	5
2017-7	safe	4
2017-7	hill	2
2017-7	today	28
2017-7	canadianpm	9
2017-7	prime	4
2017-7	minister	4
2017-7	trudeau	10
2017-7	grégoire	2
2017-7	participate	1
2017-7	wedaycanada	1
2017-7	watch	3
2017-7	event	1
2017-7	wemovement	3
2017-7	gorddownie	2
2017-7	downiewenjack	2
2017-7	ottawa	4
2017-7	children	1
2017-7	choir	1
2017-7	extraordinary	1
2017-7	performance	2
2017-7	unbelievably	1
2017-7	moving	2
2017-7	wenjacks	1
2017-7	work	8
2017-7	wheels	1
2017-7	morning	7
2017-7	ireland	4
2017-7	scotland	3
2017-7	hamburg	4
2017-7	summit	4
2017-7	greeted	1
2017-7	ambassador	1
2017-7	kvickers	1
2017-7	dublin	6
2017-7	potus	1
2017-7	americans	1
2017-7	independence	1
2017-7	meetings	1
2017-7	irish	6
2017-7	taoiseach	2
2017-7	leo	2
2017-7	varadkar	2
2017-7	warm	3
2017-7	lesson	1
2017-7	pour	1
2017-7	la	1
2017-7	leçon	1
2017-7	ce	1
2017-7	matin	1
2017-7	seamusoregan	2
2017-7	uncertain	1
2017-7	old	2
2017-7	friendships	1
2017-7	matter	1
2017-7	prosper	1
2017-7	sat	1
2017-7	business	2
2017-7	leaders	3
2017-7	talk	5
2017-7	working	13
2017-7	create	2
2017-7	jobs	6
2017-7	economic	4
2017-7	entirl	2
2017-7	ceo	1
2017-7	juliesinnamon	1
2017-7	fitzgeraldfrncs	1
2017-7	welcomed	1
2017-7	pm	10
2017-7	discuss	1
2017-7	sun	1
2017-7	came	1
2017-7	time	5
2017-7	quick	1
2017-7	see	6
2017-7	beautiful	4
2017-7	part	2
2017-7	foot	1
2017-7	nice	2
2017-7	canadians	8
2017-7	claim	1
2017-7	ancestry	1
2017-7	including	1
2017-7	family	5
2017-7	story	1
2017-7	emigration	1
2017-7	epicirelandchq	1
2017-7	justin	3
2017-7	get	5
2017-7	history	3
2017-7	research	1
2017-7	irishfamhistory	1
2017-7	enjoyed	1
2017-7	hospitality	1
2017-7	afternoon	3
2017-7	courtesy	1
2017-7	president	3
2017-7	sabina	1
2017-7	higgins	1
2017-7	making	2
2017-7	cathmckenna	4
2017-7	fifty	1
2017-7	dad	2
2017-7	emigrated	1
2017-7	proud	5
2017-7	accompanying	1
2017-7	back	5
2017-7	big	2
2017-7	announcement	1
2017-7	atlanticgrowth	1
2017-7	investments	2
2017-7	exports	1
2017-7	middle	6
2017-7	class	7
2017-7	national	6
2017-7	trade	11
2017-7	corridors	1
2017-7	fund	2
2017-7	support	5
2017-7	increase	1
2017-7	resilience	1
2017-7	transportation	1
2017-7	speech	2
2017-7	dinner	1
2017-7	given	1
2017-7	thank	7
2017-7	navdeepsbains	3
2017-7	incredible	2
2017-7	two	1
2017-7	new	3
2017-7	astronauts	1
2017-7	janicecharette	1
2017-7	mme	1
2017-7	sophie	1
2017-7	team	2
2017-7	edinburghuni	2
2017-7	bold	1
2017-7	brave	2
2017-7	open	4
2017-7	opportunities	2
2017-7	front	1
2017-7	congratulations	11
2017-7	walks	1
2017-7	away	1
2017-7	edinburgh	2
2017-7	honorary	3
2017-7	degree	1
2017-7	natrecordsscot	1
2017-7	views	1
2017-7	documents	1
2017-7	scottish	1
2017-7	ntlmuseumsscot	1
2017-7	ualberta	1
2017-7	investment	1
2017-7	make	6
2017-7	edmonton	1
2017-7	leader	1
2017-7	innovation	2
2017-7	growth	3
2017-7	meet	4
2017-7	everything	2
2017-7	done	1
2017-7	honour	1
2017-7	offered	1
2017-7	queen	2
2017-7	maple	1
2017-7	leaf	1
2017-7	flag	1
2017-7	flew	1
2017-7	parliament	1
2017-7	lindajeffrey	1
2017-7	campaignforleo	1
2017-7	telfordk	1
2017-7	adamscotti	1
2017-7	linda	1
2017-7	many	3
2017-7	ago	4
2017-7	stop	1
2017-7	everyone	9
2017-7	made	5
2017-7	feel	1
2017-7	like	1
2017-7	mclaudebibeau	2
2017-7	never	3
2017-7	forget	2
2017-7	people	15
2017-7	met	1
2017-7	goma	1
2017-7	drcongo	1
2017-7	fled	1
2017-7	violence	1
2017-7	lose	1
2017-7	join	2
2017-7	parliamentary	1
2017-7	colleagues	1
2017-7	welcoming	2
2017-7	winnipeg	4
2017-7	excitement	1
2017-7	builds	1
2017-7	scottbrison	1
2017-7	name	1
2017-7	barrier	1
2017-7	employment	1
2017-7	federal	3
2017-7	departments	1
2017-7	piloting	1
2017-7	nameblind	1
2017-7	cdninnovation	2
2017-7	happening	1
2017-7	every	4
2017-7	sector	2
2017-7	economy	3
2017-7	strategic	1
2017-7	invest	1
2017-7	thoughts	3
2017-7	families	6
2017-7	whose	1
2017-7	lives	3
2017-7	changed	1
2017-7	july	3
2017-7	greetings	2
2017-7	ready	4
2017-7	glblctzn	3
2017-7	festival	2
2017-7	partnered	1
2017-7	youtube	1
2017-7	bring	1
2017-7	exclusive	1
2017-7	livestream	1
2017-7	tune	2
2017-7	meeting	12
2017-7	norway	1
2017-7	focused	7
2017-7	sdgs	1
2017-7	ca	1
2017-7	read	1
2017-7	ball	1
2017-7	check	2
2017-7	opportunity	2
2017-7	sit	1
2017-7	partners	1
2017-7	chat	2
2017-7	governors	2
2017-7	rhode	5
2017-7	island	5
2017-7	close	1
2017-7	partnership	6
2017-7	countries	1
2017-7	early	1
2017-7	chancellor	1
2017-7	merkel	1
2017-7	ceta	2
2017-7	climate	2
2017-7	change	2
2017-7	friends	1
2017-7	sure	5
2017-7	succeed	2
2017-7	success	1
2017-7	since	2
2017-7	lagarde	1
2017-7	said	1
2017-7	hoped	1
2017-7	policies	1
2017-7	would	1
2017-7	go	1
2017-7	viral	1
2017-7	touching	1
2017-7	base	1
2017-7	emmanuelmacron	2
2017-7	committed	2
2017-7	addressing	1
2017-7	increasing	1
2017-7	benefit	4
2017-7	vigorous	1
2017-7	agreed	1
2017-7	bond	1
2017-7	strong	3
2017-7	wonderful	2
2017-7	bravery	1
2017-7	commitment	2
2017-7	education	2
2017-7	others	1
2017-7	inspiring	1
2017-7	graduating	1
2017-7	high	1
2017-7	school	1
2017-7	malala	2
2017-7	narendramodi	1
2017-7	cafreeland	2
2017-7	announced	2
2017-7	contribution	1
2017-7	help	15
2017-7	women	3
2017-7	entrepreneurs	1
2017-7	busy	2
2017-7	second	1
2017-7	sitting	1
2017-7	epn	1
2017-7	september	1
2017-7	applied	1
2017-7	creating	2
2017-7	businesses	1
2017-7	regarding	1
2017-7	settlement	1
2017-7	omar	1
2017-7	khadr	1
2017-7	charter	1
2017-7	rights	2
2017-7	freedoms	1
2017-7	protects	1
2017-7	promoted	1
2017-7	vision	1
2017-7	clean	1
2017-7	works	1
2017-7	building	2
2017-7	ties	1
2017-7	allies	1
2017-7	creates	1
2017-7	focus	1
2017-7	trip	1
2017-7	abroad	1
2017-7	head	1
2017-7	home	3
2017-7	thinking	1
2017-7	affected	8
2017-7	wildfires	4
2017-7	yukon	1
2017-7	bc	9
2017-7	stay	2
2017-7	monitoring	1
2017-7	situations	1
2017-7	provide	1
2017-7	assistance	2
2017-7	harjitsajjan	2
2017-7	respond	1
2017-7	quickly	1
2017-7	request	2
2017-7	provincial	1
2017-7	assist	2
2017-7	british	3
2017-7	columbians	2
2017-7	donate	3
2017-7	redcrosscanada	5
2017-7	bcwildfire	7
